Timeseries,kW,W
2023-07-11 19:45:00+02:00,1.69,1690
2023-07-11 20:00:00+02:00,1.61,1610
2023-07-11 20:15:00+02:00,1.13,1130
2023-07-11 20:30:00+02:00,0.63,630
2023-07-11 20:45:00+02:00,0.32,320
2023-07-11 21:00:00+02:00,0.02,20
2023-07-11 21:15:00+02:00,0,0
2023-07-11 21:30:00+02:00,0,0
2023-07-11 21:45:00+02:00,0,0
2023-07-11 22:00:00+02:00,0,0
2023-07-11 22:15:00+02:00,0,0
2023-07-11 22:30:00+02:00,0,0
2023-07-11 22:45:00+02:00,0,0
2023-07-11 23:00:00+02:00,0,0
2023-07-11 23:15:00+02:00,0,0
2023-07-11 23:30:00+02:00,0,0
2023-07-11 23:45:00+02:00,0,0
2023-07-12 00:00:00+02:00,0,0
2023-07-12 00:15:00+02:00,0,0
2023-07-12 00:30:00+02:00,0,0
2023-07-12 00:45:00+02:00,0,0
2023-07-12 01:00:00+02:00,0,0
2023-07-12 01:15:00+02:00,0,0
2023-07-12 01:30:00+02:00,0,0
2023-07-12 01:45:00+02:00,0,0
2023-07-12 02:00:00+02:00,0,0
2023-07-12 02:15:00+02:00,0,0
2023-07-12 02:30:00+02:00,0,0
2023-07-12 02:45:00+02:00,0,0
2023-07-12 03:00:00+02:00,0,0
2023-07-12 03:15:00+02:00,0,0
2023-07-12 03:30:00+02:00,0,0
2023-07-12 03:45:00+02:00,0,0
2023-07-12 04:00:00+02:00,0,0
2023-07-12 04:15:00+02:00,0,0
2023-07-12 04:30:00+02:00,0,0
2023-07-12 04:45:00+02:00,0,0
2023-07-12 05:00:00+02:00,0,0
2023-07-12 05:15:00+02:00,0,0
2023-07-12 05:30:00+02:00,0.07,70
2023-07-12 05:45:00+02:00,0.36,360
2023-07-12 06:00:00+02:00,0.85,850
2023-07-12 06:15:00+02:00,1.25,1250
2023-07-12 06:30:00+02:00,1.48,1480
2023-07-12 06:45:00+02:00,2.42,2420
2023-07-12 07:00:00+02:00,3.189999999,3189.999999
2023-07-12 07:15:00+02:00,3.800000001,3800.000001
2023-07-12 07:30:00+02:00,2.35,2350
2023-07-12 07:45:00+02:00,2.67,2670
2023-07-12 08:00:00+02:00,2.26,2260
2023-07-12 08:15:00+02:00,1.14,1140
2023-07-12 08:30:00+02:00,0.81,810
2023-07-12 08:45:00+02:00,0.68,680
2023-07-12 09:00:00+02:00,0.99,990
2023-07-12 09:15:00+02:00,1.63,1630
2023-07-12 09:30:00+02:00,2.21,2210
2023-07-12 09:45:00+02:00,3.999999999,3999.999999
2023-07-12 10:00:00+02:00,5.229999999,5229.999999
2023-07-12 10:15:00+02:00,7.26,7260
2023-07-12 10:30:00+02:00,10.85,10850
2023-07-12 10:45:00+02:00,14.82,14820
2023-07-12 11:00:00+02:00,15.14,15140
2023-07-12 11:15:00+02:00,14.01,14010
2023-07-12 11:30:00+02:00,18.53,18530
2023-07-12 11:45:00+02:00,19.55,19550
2023-07-12 12:00:00+02:00,26.18,26180
2023-07-12 12:15:00+02:00,26.9,26900
2023-07-12 12:30:00+02:00,27.91,27910
2023-07-12 12:45:00+02:00,28.36,28360
2023-07-12 13:00:00+02:00,27.75,27750
2023-07-12 13:15:00+02:00,22.86,22860
2023-07-12 13:30:00+02:00,19.75,19750
2023-07-12 13:45:00+02:00,18.18,18180
2023-07-12 14:00:00+02:00,16.05,16050
2023-07-12 14:15:00+02:00,17.79,17790
2023-07-12 14:30:00+02:00,17.38,17380
2023-07-12 14:45:00+02:00,10.11,10110
2023-07-12 15:00:00+02:00,7.580000001,7580.000001
2023-07-12 15:15:00+02:00,5.049999999,5049.999999
2023-07-12 15:30:00+02:00,4.520000001,4520.000001
2023-07-12 15:45:00+02:00,4.820000001,4820.000001
2023-07-12 16:00:00+02:00,7.179999999,7179.999999
2023-07-12 16:15:00+02:00,8.529999999,8529.999999
2023-07-12 16:30:00+02:00,8.34,8340
2023-07-12 16:45:00+02:00,6.93,6930
2023-07-12 17:00:00+02:00,6.470000001,6470.000001
2023-07-12 17:15:00+02:00,5.16,5160
2023-07-12 17:30:00+02:00,3.230000001,3230.000001
2023-07-12 17:45:00+02:00,3.519999999,3519.999999
2023-07-12 18:00:00+02:00,4.419999999,4419.999999
2023-07-12 18:15:00+02:00,3.27,3270
2023-07-12 18:30:00+02:00,2.08,2080
2023-07-12 18:45:00+02:00,1.45,1450
2023-07-12 19:00:00+02:00,3.110000001,3110.000001
2023-07-12 19:15:00+02:00,2.07,2070
2023-07-12 19:30:00+02:00,1.61,1610
2023-07-12 19:45:00+02:00,1.17,1170
2023-07-12 20:00:00+02:00,0.96,960
2023-07-12 20:15:00+02:00,0.72,720
2023-07-12 20:30:00+02:00,0.31,310
2023-07-12 20:45:00+02:00,0.05,50
2023-07-12 21:00:00+02:00,0.01,10
2023-07-12 21:15:00+02:00,0,0
2023-07-12 21:30:00+02:00,0,0
2023-07-12 21:45:00+02:00,0,0
2023-07-12 22:00:00+02:00,0,0
2023-07-12 22:15:00+02:00,0,0
2023-07-12 22:30:00+02:00,0,0
2023-07-12 22:45:00+02:00,0,0
2023-07-12 23:00:00+02:00,0,0
2023-07-12 23:15:00+02:00,0,0
2023-07-12 23:30:00+02:00,0,0
2023-07-12 23:45:00+02:00,0,0
2023-07-13 00:00:00+02:00,0,0
2023-07-13 00:15:00+02:00,0,0
2023-07-13 00:30:00+02:00,0,0
2023-07-13 00:45:00+02:00,0,0
2023-07-13 01:00:00+02:00,0,0
2023-07-13 01:15:00+02:00,0,0
2023-07-13 01:30:00+02:00,0,0
2023-07-13 01:45:00+02:00,0,0
2023-07-13 02:00:00+02:00,0,0
2023-07-13 02:15:00+02:00,0,0
2023-07-13 02:30:00+02:00,0,0
2023-07-13 02:45:00+02:00,0,0
2023-07-13 03:00:00+02:00,0,0
2023-07-13 03:15:00+02:00,0,0
2023-07-13 03:30:00+02:00,0,0
2023-07-13 03:45:00+02:00,0,0
2023-07-13 04:00:00+02:00,0,0
2023-07-13 04:15:00+02:00,0,0
2023-07-13 04:30:00+02:00,0,0
2023-07-13 04:45:00+02:00,0,0
2023-07-13 05:00:00+02:00,0,0
2023-07-13 05:15:00+02:00,0,0
2023-07-13 05:30:00+02:00,0.04,40
