time,cost (€/MWh),cost (€/kWh)
2024-01-18 03:00:00+01:00,0.000277145,0.277145
2024-01-18 03:15:00+01:00,0.000277145,0.277145
2024-01-18 03:30:00+01:00,0.000277145,0.277145
2024-01-18 03:45:00+01:00,0.000277145,0.277145
2024-01-18 04:00:00+01:00,0.000280477,0.280477
2024-01-18 04:15:00+01:00,0.000280477,0.280477
2024-01-18 04:30:00+01:00,0.000280477,0.280477
2024-01-18 04:45:00+01:00,0.000280477,0.280477
2024-01-18 05:00:00+01:00,0.000284773,0.284773
2024-01-18 05:15:00+01:00,0.000284773,0.284773
2024-01-18 05:30:00+01:00,0.000284773,0.284773
2024-01-18 05:45:00+01:00,0.000284773,0.284773
2024-01-18 06:00:00+01:00,0.000297851,0.297851
2024-01-18 06:15:00+01:00,0.000297851,0.297851
2024-01-18 06:30:00+01:00,0.000297851,0.297851
2024-01-18 06:45:00+01:00,0.000297851,0.297851
2024-01-18 07:00:00+01:00,0.000323041,0.323041
2024-01-18 07:15:00+01:00,0.000323041,0.323041
2024-01-18 07:30:00+01:00,0.000323041,0.323041
2024-01-18 07:45:00+01:00,0.000323041,0.323041
2024-01-18 08:00:00+01:00,0.000341004,0.341004
2024-01-18 08:15:00+01:00,0.000341004,0.341004
2024-01-18 08:30:00+01:00,0.000341004,0.341004
2024-01-18 08:45:00+01:00,0.000341004,0.341004
2024-01-18 09:00:00+01:00,0.000336344,0.336344
2024-01-18 09:15:00+01:00,0.000336344,0.336344
2024-01-18 09:30:00+01:00,0.000336344,0.336344
2024-01-18 09:45:00+01:00,0.000336344,0.336344
2024-01-18 10:00:00+01:00,0.000322227,0.322227
2024-01-18 10:15:00+01:00,0.000322227,0.322227
2024-01-18 10:30:00+01:00,0.000322227,0.322227
2024-01-18 10:45:00+01:00,0.000322227,0.322227
2024-01-18 11:00:00+01:00,0.000318532,0.318532
2024-01-18 11:15:00+01:00,0.000318532,0.318532
2024-01-18 11:30:00+01:00,0.000318532,0.318532
2024-01-18 11:45:00+01:00,0.000318532,0.318532
2024-01-18 12:00:00+01:00,0.000300494,0.300494
2024-01-18 12:15:00+01:00,0.000300494,0.300494
2024-01-18 12:30:00+01:00,0.000300494,0.300494
2024-01-18 12:45:00+01:00,0.000300494,0.300494
2024-01-18 13:00:00+01:00,0.000293066,0.293066
2024-01-18 13:15:00+01:00,0.000293066,0.293066
2024-01-18 13:30:00+01:00,0.000293066,0.293066
2024-01-18 13:45:00+01:00,0.000293066,0.293066
2024-01-18 14:00:00+01:00,0.000291575,0.291575
2024-01-18 14:15:00+01:00,0.000291575,0.291575
2024-01-18 14:30:00+01:00,0.000291575,0.291575
2024-01-18 14:45:00+01:00,0.000291575,0.291575
2024-01-18 15:00:00+01:00,0.000301371,0.301371
2024-01-18 15:15:00+01:00,0.000301371,0.301371
2024-01-18 15:30:00+01:00,0.000301371,0.301371
2024-01-18 15:45:00+01:00,0.000301371,0.301371
2024-01-18 16:00:00+01:00,0.000307972,0.307972
2024-01-18 16:15:00+01:00,0.000307972,0.307972
2024-01-18 16:30:00+01:00,0.000307972,0.307972
2024-01-18 16:45:00+01:00,0.000307972,0.307972
2024-01-18 17:00:00+01:00,0.000314436,0.314436
2024-01-18 17:15:00+01:00,0.000314436,0.314436
2024-01-18 17:30:00+01:00,0.000314436,0.314436
2024-01-18 17:45:00+01:00,0.000314436,0.314436
2024-01-18 18:00:00+01:00,0.000312657,0.312657
2024-01-18 18:15:00+01:00,0.000312657,0.312657
2024-01-18 18:30:00+01:00,0.000312657,0.312657
2024-01-18 18:45:00+01:00,0.000312657,0.312657
2024-01-18 19:00:00+01:00,0.000301721,0.301721
2024-01-18 19:15:00+01:00,0.000301721,0.301721
2024-01-18 19:30:00+01:00,0.000301721,0.301721
2024-01-18 19:45:00+01:00,0.000301721,0.301721
2024-01-18 20:00:00+01:00,0.000292251,0.292251
2024-01-18 20:15:00+01:00,0.000292251,0.292251
2024-01-18 20:30:00+01:00,0.000292251,0.292251
2024-01-18 20:45:00+01:00,0.000292251,0.292251
